"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"A Lama","Pontevedra","19.9 (15:50)","4.6 (09:20)","12.2","33 (01:00)","20 (01:00)","0","0","0","0","0"
"Vigo Aeropuerto","Pontevedra","15.2 (17:10)","3.2 (09:20)","9.2","26 (07:20)","19 (07:30)","0","0","0","0","0"
"Vigo","Pontevedra","19.6 (15:00)","9.2 (07:40)","14.4","21 (01:40)","10 (01:40)","0","0","0","0","0"
"Lugo Aeropuerto","Lugo","11.3 (17:30)","-5.5 (08:50)","2.9","10 (10:10)","5 (01:00)","0","0","0","0","0"
"Lugo","Lugo","13.9 (18:00)","-1.7 (09:20)","6.1","10 (20:50)","5 (18:10)","0.2","0","0","0.2","0"
"O Páramo","Lugo","10.1 (18:00)","-1.6 (00:30)","4.3","","","0.2","0","0.2","0","0"
"Becerreá","Lugo","15.2 (14:20)","5.3 (08:20)","10.3","34 (02:10)","21 (04:10)","0","0","0","0","0"
"O Saviñao","Lugo","","","","","","","","","",""
"Villablino","León","19.8 (16:10)","-7.4 (06:10)","6.2","27 (16:50)","17 (17:10)","0","0","0","0","0"
"Puerto de Leitariegos","Asturias","14.8 (16:10)","2.8 (02:40)","8.8","49 (03:50)","33 (03:50)","0","0","0","0","0"
"Ponferrada","León","15.3 (17:00)","-4.3 (09:00)","5.5","12 (19:50)","6 (15:20)","0","0","0","0","0"
"Vega de Espinareda","León","19.3 (16:40)","-3.1 (07:40)","8.1","","","0","0","0","0","0"
"O Barco de Valdeorras","Ourense","12.3 (17:30)","-4.3 (08:40)","4","","","0","0","0","0","0"
"A Pobra de Trives","Ourense","13.6 (16:00)","-2.4 (08:50)","5.6","21 (16:00)","11 (05:20)","0","0","0","0","0"
"Chandrexa de Queixa","Ourense","14.7 (15:50)","-4.2 (09:20)","5.3","18 (21:20)","9 (23:59)","0","0","0","0","0"
"Folgoso do Courel","Lugo","17.8 (16:20)","-0.4 (07:30)","8.7","","","0","0","0","0","0"
"Monforte de Lemos","Lugo","14.1 (16:50)","-3.7 (10:00)","5.2","6 (13:00)","3 (14:30)","0","0","0","0","0"
"Ourense","Ourense","15.9 (17:20)","-3.0 (05:50)","6.4","10 (08:30)","6 (08:30)","0","0","0","0","0"
"Beariz","Ourense","19.3 (15:30)","-7.3 (08:40)","6","","","0","0","0","0","0"
"O Carballiño","Ourense","19.1 (16:10)","-4.8 (08:50)","7.2","7 (23:40)","2 (15:10)","0","0","0","0","0"
"Ribadavia","Ourense","","","","","","","0","0","",""
"Allariz","Ourense","18.2 (15:40)","-6.8 (09:00)","5.7","","","0","0","0","0","0"
"A Cañiza","Pontevedra","19.5 (16:50)","4.5 (04:40)","12","","","0","0","0","0","0"
"Ponteareas, Canedo","Pontevedra","17.9 (17:30)","-3.1 (08:50)","7.4","","","0","0","0","0","0"
"O Rosal","Pontevedra","19.2 (16:50)","0.8 (09:00)","10","","","0","0","0","0","0"
"Xinzo de Limia","Ourense","17.0 (15:00)","-11.5 (09:00)","2.8","28 (15:50)","15 (15:50)","0","0","0","0","0"
"Muiños","Ourense","","","","","","","","","",""
"Santillana del Mar, Altamira","Cantabria","11.4 (15:30)","0.0 (08:20)","5.7","17 (11:00)","9 (16:40)","0","0","0","0","0"
"Vinuesa, Quintanarejo","Soria","16.3 (15:10)","-2.9 (02:20)","6.7","","","0","0","0","0","0"
"La Póveda de Soria, Barriomartín","Soria","16.1 (14:50)","-2.2 (06:30)","7","21 (20:30)","15 (19:10)","0","0","0","0","0"
"Soria","Soria","18.8 (15:40)","-6.8 (08:20)","6","10 (14:10)","6 (17:30)","0","0","0","0","0"
"Lubia","Soria","18.8 (16:10)","-3.7 (05:30)","7.5","15 (15:30)","9 (16:50)","0","0","0","0","0"
"Morón de Almazán","Soria","19.3 (16:20)","-10.4 (07:20)","4.4","9 (14:40)","8 (19:10)","0","0","0","0","0"
"La Riba de Escalote","Soria","16.0 (14:40)","-8.4 (08:10)","3.8","20 (12:30)","10 (17:30)","0","0","0","0","0"
"Ucero","Soria","17.7 (15:20)","-8.5 (08:30)","4.6","","","0","0","0","0","0"
"Burgo de Osma","Soria","19.7 (16:20)","-9.3 (07:50)","5.2","14 (16:50)","9 (13:20)","0","0","0","0","0"
"Liceras","Soria","16.9 (12:30)","-1.5 (00:40)","7.7","24 (11:20)","15 (16:50)","0","0","0","0","0"
"Coruña del Conde","Burgos","16.9 (15:50)","-3.8 (04:30)","6.5","18 (09:00)","12 (09:00)","0","0","0","0","0"
"Aranda de Duero","Burgos","15.6 (16:40)","-9.4 (08:50)","3.1","14 (23:30)","8 (23:30)","0","0","0","0","0"
"Fresno de Cantespino","Segovia","15.0 (15:40)","-7.6 (08:10)","3.7","19 (05:10)","13 (20:20)","0","0","0","0","0"
"Aldeanueva de Serrezuela","Segovia","15.0 (13:00)","6.0 (21:30)","10.5","29 (10:40)","19 (10:20)","0","0","0","0","0"
"La Pinilla, estación de esquí","Segovia","","","","","","","","","",""
"Peñafiel","Valladolid","15.8 (16:00)","-8.5 (07:40)","3.7","","","0","0","0","0","0"
